724,1941
729,1841
737,1741
754,1641
773,1541
806,1441
852,1341
907,1241
963,1141
1021,1041
1087,941
1164,841
1242,741
1322,641
1426,553
1526,488
1626,439
1726,402
1826,378
1926,388
2026,403
2126,431
2226,453
2326,483
2426,513
2526,543
2626,569
2726,596
2826,627
2926,658
3026,688
3126,716
3226,740
3326,762
3426,783
3526,810
3626,831
3726,847
3826,871
3926,887
4026,890
4126,890
4226,889
4326,886
4426,875
4526,855
4626,832
4726,798
4826,746
4926,693
5026,635
5052,621
5152,566
5252,509
5352,449
5452,403
5552,364
5652,336
5752,330
5852,336
5952,359
6052,398
6152,452
6252,509
6352,578
6452,676
6552,764
6652,850
6745,949
6811,1049
6879,1149
6941,1249
6986,1349
7023,1449
7050,1549
7064,1649
7081,1749
7094,1849
7099,1949
7101,2049
7101,2149
7095,2249
7089,2349
7074,2449
7042,2549
7000,2649
6965,2749
6931,2849
6883,2949
6818,3049
6745,3149
6645,3249
6545,3336
6445,3411
6345,3461
6245,3509
6145,3542
6045,3566
5945,3587
5845,3607
5745,3613
5645,3622
5545,3627
5445,3629
5345,3629
5245,3629
5145,3634
5045,3635
4945,3640
4845,3642
4745,3646
4645,3654
4545,3656
4445,3656
4345,3662
4245,3673
4145,3678
4045,3678
3945,3683
3845,3690
3745,3696
3645,3697
3545,3697
3445,3702
3345,3709
3245,3714
3145,3719
3045,3719
2945,3718
2745,3713
2645,3706
2545,3693
2445,3685
2345,3685
2245,3680
2145,3666
2045,3641
1945,3615
1845,3577
1745,3526
1645,3463
1545,3394
1445,3317
1345,3225
1245,3137
1149,3041
1060,2941
991,2841
931,2741
876,2641
831,2541
796,2441
763,2341
744,2241
738,2141
727,2041
